,Has Online delivery,Is delivering now,Price range,Votes,Num_of_Cuisines,Dollar_Standard_Avg_Cost_2,Australia,Botswana,Brazil,Canada,India,Indonesia,New Zealand,Qatar,Singapore,South Africa,Sri Lanka,Turkey,UAE,UK,USA,Val_Mon
0,0,0,3,314,3,80.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.729166666666668
1,0,0,3,591,1,87.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.466666666666665
2,0,0,4,270,4,292.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66.36363636363636
3,0,0,4,365,2,109.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.346938775510203
4,0,0,4,229,2,109.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8125
5,0,0,3,336,1,73.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59090909090909
6,0,0,4,520,2,146.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5
7,0,0,4,677,4,146.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34.76190476190476
8,0,0,4,621,3,438.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89.38775510204081
9,0,0,3,532,1,80.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.729166666666668
10,0,0,3,1070,2,58.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.918367346938775
11,0,0,3,488,3,65.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.642857142857142
12,0,0,3,294,2,58.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.166666666666666
13,0,0,3,458,1,73.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.38095238095238
14,0,0,3,223,1,51.099999999999994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.883720930232558
15,0,0,3,29,4,58.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22222222222222
16,0,0,3,72,2,62.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5125
17,0,0,3,211,1,87.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.466666666666665
18,0,0,2,118,3,43.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.733333333333333
19,0,0,4,392,4,109.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.886363636363633
20,0,0,4,535,4,219.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46.59574468085106
21,0,0,4,618,4,131.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.200000000000003
22,0,0,2,6,2,11.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665
23,0,0,1,9,1,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5789473684210527
24,0,0,2,11,1,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4324324324324325
25,0,0,3,11,1,12.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.1578947368421053
26,0,0,2,11,1,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.125
27,0,0,3,10,1,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.161290322580645
28,0,0,3,8,1,18.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.864864864864865
29,0,0,4,5,1,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.81081081081081
31,0,0,4,12,1,30.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.317073170731708
32,0,0,4,9,1,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903225806
33,0,0,3,9,2,12.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333333333
34,0,0,4,29,2,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.651162790697675
35,0,0,4,17,1,46.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.952380952380953
36,0,0,4,5,2,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.555555555555555
37,0,0,4,10,2,30.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5
38,0,0,4,6,1,48.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.0
39,0,0,4,30,1,46.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.387755102040815
40,0,0,4,8,1,70.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.212121212121215
41,0,0,2,9,2,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.7777777777777777
42,0,0,4,7,3,28.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0
43,0,0,4,29,2,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.166666666666667
44,0,0,3,24,2,12.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.553191489361702
45,0,0,3,29,3,18.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
46,0,0,4,11,1,34.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.095238095238095
47,0,0,3,19,1,12.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5
48,0,0,4,40,2,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.081632653061225
49,0,0,3,21,4,18.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.91304347826087
50,0,0,4,49,2,24.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.897959183673469
51,0,0,4,21,1,34.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.391304347826088
52,0,0,3,14,1,18.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.186046511627907
53,0,0,4,5,1,30.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5
54,0,0,4,25,1,50.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.869565217391305
55,0,0,4,13,3,24.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.454545454545454
56,0,0,2,7,1,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.9047619047619047
57,0,0,4,8,2,50.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.904761904761905
59,0,0,4,44,1,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.76595744680851
60,0,0,3,24,2,17.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.695652173913044
61,0,0,3,10,2,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7209302325581395
62,0,0,4,49,2,50.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.11111111111111
63,0,0,4,17,2,50.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.363636363636363
64,0,0,3,5,1,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.516129032258064
65,0,0,4,15,1,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.878048780487806
66,0,0,4,59,2,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.5
67,0,0,4,30,3,24.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.217391304347826
68,0,0,3,5,2,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8461538461538463
70,0,0,4,73,1,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.764705882352942
71,0,0,4,9,2,24.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.857142857142857
72,0,0,4,39,3,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.953488372093023
73,0,0,4,12,1,46.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.794871794871796
74,0,0,4,68,2,24.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.5813953488372094
75,0,0,4,46,2,30.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.976744186046512
76,0,0,4,37,1,80.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.18181818181818
79,0,0,4,22,2,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.545454545454545
80,0,0,3,58,3,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0434782608695654
81,0,0,4,11,2,24.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.853658536585367
82,0,0,2,35,3,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.575757575757576
83,0,0,1,25,2,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0303030303030303
84,0,0,1,34,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
85,0,0,1,45,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
86,0,0,1,26,2,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9411764705882355
87,0,0,1,36,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
88,0,0,1,67,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.857142857142857
89,0,0,1,141,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5641025641025643
90,0,0,2,147,3,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.756756756756756
91,0,0,4,51,3,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0
92,0,0,2,88,3,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.944444444444445
93,0,0,1,153,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.6315789473684212
94,0,0,1,160,2,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5641025641025643
95,0,0,2,57,3,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.142857142857143
96,0,0,2,58,2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.142857142857143
97,0,0,3,115,3,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.11111111111111
98,0,0,3,51,3,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.428571428571429
99,0,0,3,250,3,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.526315789473685
100,0,0,1,117,2,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7027027027027026
101,0,0,1,20,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9411764705882355
102,0,0,2,25,2,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7142857142857144
103,0,0,3,1821,3,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.88888888888889
104,0,0,1,849,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2222222222222223
105,0,0,1,917,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.173913043478261
106,0,0,1,439,2,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5641025641025643
107,0,0,1,289,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7027027027027026
108,0,0,1,558,2,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3255813953488373
109,0,0,1,613,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.380952380952381
110,0,0,2,353,3,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.25
111,0,0,2,387,3,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.097560975609756
112,0,0,3,755,1,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.30232558139535
113,0,0,1,800,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.380952380952381
114,0,0,1,350,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.439024390243903
115,0,0,3,464,1,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.756097560975611
116,0,0,2,550,3,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.9523809523809526
117,0,0,1,543,2,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.439024390243903
118,0,0,3,465,2,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.756097560975611
119,0,0,1,546,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2727272727272725
120,0,0,1,1098,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2727272727272725
121,0,0,2,579,2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.9523809523809526
122,0,0,1,374,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.439024390243903
123,0,0,3,717,2,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.695652173913045
124,0,0,3,548,3,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.16326530612245
125,0,0,2,631,3,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.555555555555555
126,0,0,1,372,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5641025641025643
127,0,0,2,201,2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.410256410256411
